"player_name","fant_pos","g.x","r_att","r_yds","rya","rtd","tgt","rec","rec_yds","rec_y_r","rec_td","fmb","fl","td","ppr","pos","ybc","yac","brk_tkl"
"Gus Edwards","RB",8,75,328,4.37,3,6,2,11,5.5,0,1,1,3,51.9,"rb",153,175,3
"Leonard Fournette","RB",7,51,225,4.41,2,27,22,141,6.41,0,0,0,2,70.6,NA,118,107,0
"Wayne Gallman","RB",8,51,222,4.35,3,14,12,68,5.67,0,0,0,3,59,"rb",80,142,0
"Austin Ekeler","RB",4,49,248,5.06,1,17,17,144,8.47,0,0,0,1,62.2,"rb",123,125,8
"Joshua Kelley","RB",8,91,292,3.21,1,19,19,141,7.42,0,2,2,1,64.3,NA,144,148,7
"Damien Harris","RB",5,63,350,5.56,1,2,2,26,13,0,0,0,1,45.6,"rb",230,120,6
"Alexander Mattison","RB",8,69,322,4.67,1,11,9,61,6.78,0,0,0,1,53.3,"rb",159,163,4
"Frank Gore","RB",9,108,386,3.57,0,11,8,48,6,0,0,0,0,51.4,"rb",145,241,5
"J.D. McKissic","RB",8,35,168,4.8,0,47,34,248,7.29,0,1,1,0,73.6,"rb",87,81,5
"Brian Hill","RB",9,56,243,4.34,1,20,16,111,6.94,0,1,1,1,55.4,NA,134,109,3
"Phillip Lindsay","RB",5,53,310,5.85,1,7,2,14,7,0,0,0,1,40.4,"rb",191,119,2
"Mark Ingram","RB",6,50,225,4.5,2,5,3,25,8.33,0,0,0,2,40,"rb",145,80,5
"Boston Scott","RB",8,48,183,3.81,0,17,12,103,8.58,1,1,0,1,46.6,"rb",87,96,9
"Jordan Wilkins","RB",8,60,222,3.7,1,6,5,45,9,0,0,0,1,39.7,NA,91,131,7
"Devontae Booker","RB",8,33,223,6.76,1,8,8,60,7.5,0,1,0,1,42.3,NA,124,99,2
"Tony Pollard","RB",9,47,206,4.38,1,19,13,78,6,0,0,0,1,47.4,"rb",90,116,1
"DeeJay Dallas","RB",6,27,80,2.96,2,12,11,58,5.27,1,0,0,3,42.8,"rb",44,36,0
"Justin Jackson","RB",6,45,185,4.11,0,19,15,131,8.73,0,0,0,0,46.6,"rb",126,59,1
"Kerryon Johnson","RB",8,29,109,3.76,1,10,8,79,9.88,1,0,0,2,38.8,"rb",76,33,2
"Devonta Freeman","RB",5,54,172,3.19,1,10,7,58,8.29,0,0,0,1,36,"rb",104,68,2
"Carlos Hyde","RB",4,31,125,4.03,2,7,6,34,5.67,0,0,0,2,33.9,NA,100,25,0
