Rk,Player,Tm,FantPos,Age,G,GS,Cmp,PAtt,PYds,PTD,Int,RAtt,RYds,RYA,RTD,Tgt,Rec,RecYds,RecY/R,RecTD,Fmb,FL,TD,2PM,2PP,PPR
110,Sam Darnold\DarnSa00,NYJ,QB,23,6,6,112,191,1045,3,6,18,138,7.67,1,0,0,0,,0,1,0,1,,,61.6
111,Mecole Hardman\HardMe00,KAN,WR,22,9,6,0,0,0,0,0,2,16,8,0,33,25,395,15.8,3,0,0,3,1,,86.1
112,DeVante Parker\ParkDe01,MIA,WR,27,8,7,0,0,0,0,0,0,0,,0,49,36,431,11.97,3,0,0,3,,,97.1
113,Jerry Jeudy\JeudJe00,DEN,WR,21,8,6,0,0,0,0,0,0,0,,0,61,30,484,16.13,2,2,0,2,,,90.4
114,David Moore\MoorDa03,SEA,WR,25,8,3,0,0,0,0,0,4,44,11,0,26,20,316,15.8,4,1,0,4,,,80
115,Jamison Crowder\CrowJa00,NYJ,WR,27,5,4,0,0,0,0,0,0,0,,0,48,31,409,13.19,3,0,0,3,,,89.9
116,Jamaal Williams\WillJa06,GNB,RB,25,7,3,0,0,0,0,0,68,294,4.32,1,25,23,183,7.96,0,0,0,1,2,,80.7
117,Giovani Bernard\BernGi00,CIN,RB,29,8,2,0,0,0,0,0,40,143,3.58,2,29,24,190,7.92,2,0,0,4,,,81.3
118,Malcolm Brown\BrowMa03,LAR,RB,27,8,0,0,0,0,0,0,75,314,4.19,3,21,14,79,5.64,0,0,0,3,,,71.3
119,Nick Chubb\ChubNi00,CLE,RB,25,4,4,0,0,0,0,0,57,335,5.88,4,3,3,17,5.67,0,1,1,4,,,60.2
120,Nyheim Hines\HineNy00,IND,RB,24,8,0,0,0,0,0,0,33,107,3.24,1,35,28,220,7.86,3,0,0,4,,,84.7
121,Raheem Mostert\MostRa00,SFO,RB,28,4,4,0,0,0,0,0,51,303,5.94,1,12,11,150,13.64,1,0,0,2,,,68.3
122,Mike Williams\WillMi07,LAC,WR,26,7,5,0,0,0,0,0,1,1,1,0,40,23,393,17.09,3,0,0,3,,,80.4
123,Preston Williams\WillPr01,MIA,WR,23,8,7,0,0,0,0,0,0,0,,0,35,18,288,16,4,0,0,4,2,,74.8
124,Keelan Cole\ColeKe00,JAX,WR,27,8,1,0,0,0,0,0,1,2,2,0,42,29,380,13.1,3,0,0,3,,,85.2
125,Tim Patrick\PatrTi00,DEN,WR,27,7,7,0,0,0,0,0,0,0,,0,42,27,383,14.19,3,0,0,3,,,83.3
126,Corey Davis\DaviCo03,TEN,WR,25,6,6,0,0,0,0,0,0,0,,0,42,29,369,12.72,3,0,0,3,,,83.9
127,Marvin Jones\JoneMa02,DET,WR,30,8,8,0,0,0,0,0,0,0,,0,41,25,308,12.32,4,0,0,4,,,79.8
128,Marquise Brown\BrowMa04,BAL,WR,23,8,7,0,0,0,0,0,1,1,1,0,49,30,417,13.9,2,0,0,2,,,83.8
129,Scott Miller\MillSc01,TAM,WR,23,9,5,0,0,0,0,0,3,14,4.67,0,41,26,410,15.77,2,0,0,2,,,80.4
130,Nick Mullens\MullNi00,SFO,QB,25,5,3,91,133,1143,5,4,7,-2,-0.29,0,0,0,0,,0,4,2,0,,,53.5
131,Latavius Murray\MurrLa00,NOR,RB,30,8,3,0,0,0,0,0,81,321,3.96,2,14,12,94,7.83,0,0,0,2,,,65.5
132,Adrian Peterson\PeteAd01,DET,RB,35,8,6,0,0,0,0,0,93,350,3.76,2,14,10,69,6.9,0,0,0,2,,,63.9
133,Jeff Wilson\WilsJe01,SFO,RB,25,6,1,0,0,0,0,0,38,163,4.29,4,7,6,75,12.5,1,0,0,5,,,59.8
134,Michael Gallup\GallMi00,DAL,WR,24,9,8,0,0,0,0,0,0,0,,0,55,29,468,16.14,1,0,0,1,,,81.8
135,Dwayne Haskins\HaskDw00,WAS,QB,23,4,4,89,146,939,4,3,13,30,2.31,1,0,0,0,,0,4,2,1,,,52.6
136,Zack Moss\MossZa00,BUF,RB,23,6,0,0,0,0,0,0,52,204,3.92,3,10,8,71,8.88,1,0,0,4,,,59.5
137,Emmanuel Sanders\SandEm00,NOR,WR,33,6,2,0,0,0,0,0,0,0,,0,41,30,342,11.4,3,1,0,3,,,82.2
138,Randall Cobb\CobbRa00,HOU,WR,30,8,2,0,1,0,0,0,0,0,,0,41,33,393,11.91,2,0,0,2,,,84.3
139,Marquez Valdes-Scantling\ValdMa00,GNB,WR,26,8,6,0,0,0,0,0,2,13,6.5,0,39,18,314,17.44,3,0,0,3,,,68.7
140,J.K. Dobbins\DobbJK00,BAL,RB,22,8,0,0,0,0,0,0,52,297,5.71,2,18,14,87,6.21,0,0,0,2,,,64.4
141,Gus Edwards\EdwaGu00,BAL,RB,25,8,2,0,0,0,0,0,75,328,4.37,3,6,2,11,5.5,0,1,1,3,,,51.9
142,Leonard Fournette\FourLe00,TAM,RB,25,7,0,0,0,0,0,0,51,225,4.41,2,27,22,141,6.41,0,0,0,2,,,70.6
