Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
150,Jay Ajayi\AjayJa00,PHI,26,,3,0,10,30,3,9,0.9,21,2.1,5,2
151,Brandon Allen\AlleBr00,DEN,27,,3,3,10,39,4,32,3.2,7,0.7,0,
152,Javorius Allen\AlleJa01,NYG,28,,10,0,10,36,3,-5,-0.5,41,4.1,0,
153,Ryan Finley\FinlRy00,CIN,25,,3,3,10,77,4,73,7.3,4,0.4,0,
154,Wes Hills\HillWe00,DET,24,,1,1,10,21,3,9,0.9,12,1.2,0,
155,Alec Ingold\IngoAl01,OAK,23,,16,4,10,17,7,9,0.9,8,0.8,0,
156,Christian Kirk\KirkCh01,ARI,23,WR,13,13,10,93,4,66,6.6,27,2.7,1,10
157,Troymaine Pope\PopeTr00,LAC,26,,14,0,10,20,0,11,1.1,9,0.9,0,
158,Tyrod Taylor\TaylTy00,LAC,30,,8,0,10,7,1,3,0.3,4,0.4,0,
159,Drew Brees*\BreeDr00,NOR,40,QB,11,11,9,-4,2,-4,-0.4,0,0,0,
160,Taiwan Jones\JoneTa00,HOU,31,,11,0,9,40,3,26,2.9,14,1.6,0,
161,Case Keenum\KeenCa00,WAS,31,QB/qb,10,8,9,12,2,11,1.2,1,0.1,0,
162,Devine Ozigbo\OzigDe01,JAX,23,,10,0,9,27,1,11,1.2,16,1.8,0,
163,Steven Sims\SimsSt00,WAS,22,,16,2,9,85,2,27,3,58,6.4,2,4.5
164,Josh Adams\AdamJo03,NYJ,23,,3,0,8,12,1,5,0.6,7,0.9,0,
165,David Blough\BlouDa00,DET,24,qb,5,5,8,31,1,27,3.4,4,0.5,0,
166,Tony Brooks-James\BrooTo01,PIT,25,,3,0,8,7,,-11,-1.4,18,2.3,2,4
167,Julian Edelman\EdelJu00,NWE,33,WR,16,13,8,27,2,21,2.6,6,0.8,0,
168,Tyreek Hill*\HillTy00,KAN,25,WR,12,12,8,23,1,9,1.1,14,1.8,0,
169,Brian Hoyer\HoyeBr00,IND,34,/qb,4,1,8,2,0,-3,-0.4,5,0.6,0,
170,Isaiah McKenzie\McKeIs00,BUF,24,WR,15,8,8,49,4,35,4.4,14,1.8,0,
171,Dwayne Washington\WashDw00,NOR,25,,16,0,8,60,2,9,1.1,51,6.4,2,4
172,Will Grier\GrieWi00,CAR,24,,2,2,7,22,2,21,3,1,0.1,0,
173,C.J. Ham*\HamxC.00,MIN,26,FB,16,7,7,17,2,4,0.6,13,1.9,1,7
174,Brett Hundley\HundBr00,ARI,26,,3,0,7,41,3,13,1.9,28,4,0,
175,Zach Line\LineZa01,NOR,29,/fb,12,2,7,20,5,10,1.4,10,1.4,0,
176,Derek Watt\WattDe00,LAC,27,/fb,16,2,7,10,6,5,0.7,5,0.7,0,
177,Alex Armah\ArmaAl00,CAR,25,,16,1,6,11,1,6,1,5,0.8,0,
178,Tavon Austin\AustTa00,DAL,29,,14,0,6,47,2,28,4.7,19,3.2,0,
179,Brandin Cooks\CookBr00,LAR,26,WR,14,14,6,52,3,45,7.5,7,1.2,0,
180,Chase Daniel\DaniCh00,CHI,33,/qb,3,1,6,6,2,2,0.3,4,0.7,0,
181,Sean Mannion\MannSe00,MIN,27,,3,1,6,-5,0,-5,-0.8,0,0,0,
182,D.J. Moore\MoorD.00,CAR,22,WR,15,15,6,40,3,29,4.8,11,1.8,0,
183,Sterling Shepard\ShepSt00,NYG,26,WR,10,10,6,72,3,67,11.2,5,0.8,0,
184,Tim Boyle\BoylTi00,GNB,25,,3,0,5,-7,0,-7,-1.4,0,0,0,
185,Stefon Diggs\DiggSt00,MIN,26,WR,15,15,5,61,3,37,7.4,24,4.8,0,
186,Alex Erickson\EricAl01,CIN,27,wr,16,6,5,33,2,20,4,13,2.6,0,
187,N'Keal Harry\HarrNK00,NWE,22,wr,7,5,5,49,4,12,2.4,37,7.4,1,5
188,Buddy Howell\HoweGr00,HOU,23,,16,0,5,10,1,7,1.4,3,0.6,0,
189,George Kittle*+\KittGe00,SFO,26,TE,14,14,5,22,1,14,2.8,8,1.6,0,
190,A.J. McCarron\McCaA.00,HOU,29,,2,1,5,39,3,39,7.8,0,0,0,
191,Matt Moore\MoorMa01,KAN,35,,6,2,5,-1,0,-2,-0.4,1,0.2,0,
192,Cam Newton\NewtCa00,CAR,30,,2,2,5,-2,0,-2,-0.4,0,0,0,
193,Samaje Perine\PeriSa00,2TM,24,,7,0,5,16,1,11,2.2,5,1,1,5
194,Josh Reynolds\ReynJo00,LAR,24,,16,2,5,23,2,22,4.4,1,0.2,0,
195,Keith Smith\SmitKe03,ATL,27,fb,16,5,5,8,4,0,0,8,1.6,0,
196,Dede Westbrook\WestDe00,JAX,26,WR,15,11,5,27,0,13,2.6,14,2.8,0,
197,Dexter Williams\WillDe07,GNB,22,,4,0,5,11,,6,1.2,5,1,0,
198,Albert Wilson\WilsAl02,MIA,27,,13,4,5,45,1,35,7,10,2,1,5
199,Kenjon Barner\BarnKe00,ATL,29,,14,0,4,28,1,22,5.5,6,1.5,0,
200,Tyler Boyd\BoydTy00,CIN,25,WR,16,15,4,23,1,20,5,3,0.8,0,
201,Parris Campbell\CampPa00,IND,22,,7,3,4,34,1,24,6,10,2.5,1,4
202,Trevor Davis\DaviTr03,3TM,26,,14,4,4,73,2,73,18.3,0,0,0,
203,Nick Foles\FoleNi00,JAX,30,/qb,4,4,4,23,2,18,4.5,5,1.3,0,
204,Russell Gage\GageRu00,ATL,23,,16,4,4,12,0,3,0.8,9,2.3,1,4
205,Jakeem Grant\GranJa00,MIA,27,,10,2,4,5,1,5,1.3,0,0,0,
206,Ryan Griffin\GrifRy01,TAM,30,,2,0,4,-1,0,-1,-0.3,0,0,0,
207,Mecole Hardman*\HardMe00,KAN,21,wr,16,5,4,17,1,16,4,1,0.3,0,
208,Damien Harris\HarrDa06,NWE,22,,2,0,4,12,,8,2,4,1,0,
209,Deonte Harris*+\HarrDe07,NOR,22,,14,1,4,31,2,29,7.3,2,0.5,0,
